"id","baseline","webview_all","webview_android","webview_ios","webview_android_unsupported_compat_features","webview_ios_unsupported_compat_features"
"element","0 - limited",FALSE,"unsupported","unsupported","css.properties.background-image.element, css.types.image.element","css.properties.background-image.element, css.types.image.element"
"element-capture","0 - limited",FALSE,"unsupported","unsupported","api.BrowserCaptureMediaStreamTrack.restrictTo, api.RestrictionTarget, api.RestrictionTarget.fromElement_static","api.BrowserCaptureMediaStreamTrack.restrictTo, api.RestrictionTarget, api.RestrictionTarget.fromElement_static"
"element-from-point","2 - widely",TRUE,"supported","supported","",""
"element-timing","0 - limited",FALSE,"supported","unsupported","","api.Element.elementTiming, api.PerformanceElementTiming, api.PerformanceElementTiming.element, api.PerformanceElementTiming.id, api.PerformanceElementTiming.identifier, api.PerformanceElementTiming.intersectionRect, api.PerformanceElementTiming.loadTime, api.PerformanceElementTiming.naturalHeight, api.PerformanceElementTiming.naturalWidth, api.PerformanceElementTiming.renderTime, api.PerformanceElementTiming.toJSON, api.PerformanceElementTiming.url"
"em","2 - widely",TRUE,"supported","supported","",""
"em-unit","2 - widely",TRUE,"supported","supported","",""
"embed","2 - widely",TRUE,"supported","supported","",""
"empty","2 - widely",FALSE,"partial","partial","css.selectors.empty.matches_whitespace","css.selectors.empty.matches_whitespace"
"encrypted-media-extensions","2 - widely",FALSE,"supported","partial","","api.MediaCapabilities.decodingInfo.configuration_keySystemConfiguration_parameter, api.MediaEncryptedEvent, api.MediaEncryptedEvent.MediaEncryptedEvent, api.MediaEncryptedEvent.initData, api.MediaEncryptedEvent.initDataType, api.MediaKeyMessageEvent, api.MediaKeyMessageEvent.MediaKeyMessageEvent, api.MediaKeyMessageEvent.message, api.MediaKeyMessageEvent.messageType, api.MediaKeySession, api.MediaKeySession.close, api.MediaKeySession.closed, api.MediaKeySession.expiration, api.MediaKeySession.generateRequest, api.MediaKeySession.keyStatuses, api.MediaKeySession.keystatuseschange_event, api.MediaKeySession.load, api.MediaKeySession.message_event, api.MediaKeySession.remove, api.MediaKeySession.sessionId, api.MediaKeySession.update, api.MediaKeyStatusMap, api.MediaKeyStatusMap.@@iterator, api.MediaKeyStatusMap.entries, api.MediaKeyStatusMap.forEach, api.MediaKeyStatusMap.get, api.MediaKeyStatusMap.has, api.MediaKeyStatusMap.keys, api.MediaKeyStatusMap.size, api.MediaKeyStatusMap.values, api.MediaKeySystemAccess, api.MediaKeySystemAccess.createMediaKeys, api.MediaKeySystemAccess.getConfiguration, api.MediaKeySystemAccess.keySystem, api.MediaKeys, api.MediaKeys.createSession, api.MediaKeys.getStatusForPolicy, api.MediaKeys.setServerCertificate, api.Navigator.requestMediaKeySystemAccess, html.elements.iframe.allow.encrypted-media, http.headers.Permissions-Policy.encrypted-media"
"enterkeyhint","2 - widely",TRUE,"supported","supported","",""
"error-cause","2 - widely",TRUE,"supported","supported","",""
"escape-unescape","0 - limited",TRUE,"supported","supported","",""
"event-timing","0 - limited",FALSE,"supported","unsupported","","api.EventCounts, api.EventCounts.@@iterator, api.EventCounts.entries, api.EventCounts.forEach, api.EventCounts.get, api.EventCounts.has, api.EventCounts.keys, api.EventCounts.size, api.EventCounts.values, api.Performance.eventCounts, api.PerformanceEventTiming, api.PerformanceEventTiming.cancelable, api.PerformanceEventTiming.interactionId, api.PerformanceEventTiming.processingEnd, api.PerformanceEventTiming.processingStart, api.PerformanceEventTiming.target, api.PerformanceEventTiming.toJSON"
"events","2 - widely",FALSE,"supported","partial","","api.EventTarget.addEventListener.options_parameter.options_passive_parameter_default_true_wheel, api.EventTarget.addEventListener.options_parameter.options_signal_parameter, api.EventTarget.addEventListener.useCapture_parameter_optional, api.EventTarget.dispatchEvent, api.EventTarget.removeEventListener, api.EventTarget.removeEventListener.options_parameter, api.EventTarget.removeEventListener.useCapture_parameter_optional"
"ex","2 - widely",TRUE,"supported","supported","",""
"execcommand","0 - limited",FALSE,"partial","partial","api.Document.execCommand.defaultParagraphSeparator, api.Document.execCommand.insertBrOnReturn, api.Document.queryCommandEnabled, api.Document.queryCommandIndeterm, api.Document.queryCommandState, api.Document.queryCommandSupported, api.Document.queryCommandValue","api.Document.execCommand.defaultParagraphSeparator, api.Document.execCommand.insertBrOnReturn, api.Document.queryCommandEnabled, api.Document.queryCommandIndeterm, api.Document.queryCommandState, api.Document.queryCommandSupported, api.Document.queryCommandValue"
"exp-functions","1 - newly",TRUE,"supported","supported","",""
"explicit-resource-management","0 - limited",FALSE,"supported","unsupported","","javascript.builtins.AsyncDisposableStack, javascript.builtins.AsyncDisposableStack.@@asyncDispose, javascript.builtins.AsyncDisposableStack.AsyncDisposableStack, javascript.builtins.AsyncDisposableStack.adopt, javascript.builtins.AsyncDisposableStack.defer, javascript.builtins.AsyncDisposableStack.disposeAsync, javascript.builtins.AsyncDisposableStack.disposed, javascript.builtins.AsyncDisposableStack.move, javascript.builtins.AsyncDisposableStack.use, javascript.builtins.AsyncIterator.@@asyncDispose, javascript.builtins.DisposableStack, javascript.builtins.DisposableStack.@@dispose, javascript.builtins.DisposableStack.DisposableStack, javascript.builtins.DisposableStack.adopt, javascript.builtins.DisposableStack.defer, javascript.builtins.DisposableStack.dispose, javascript.builtins.DisposableStack.disposed, javascript.builtins.DisposableStack.move, javascript.builtins.DisposableStack.use, javascript.builtins.Iterator.@@dispose, javascript.builtins.SuppressedError, javascript.builtins.SuppressedError.SuppressedError, javascript.builtins.SuppressedError.error, javascript.builtins.SuppressedError.suppressed, javascript.builtins.Symbol.asyncDispose, javascript.builtins.Symbol.dispose, javascript.statements.await_using, javascript.statements.using"
"exponentiation","2 - widely",TRUE,"supported","supported","",""
"ext-blend-minmax","2 - widely",TRUE,"supported","supported","",""
"ext-color-buffer-float","2 - widely",TRUE,"supported","supported","",""
"ext-color-buffer-half-float","2 - widely",TRUE,"supported","supported","",""
"ext-disjoint-timer-query","0 - limited",FALSE,"supported","unsupported","","api.EXT_disjoint_timer_query, api.EXT_disjoint_timer_query.beginQueryEXT, api.EXT_disjoint_timer_query.createQueryEXT, api.EXT_disjoint_timer_query.deleteQueryEXT, api.EXT_disjoint_timer_query.endQueryEXT, api.EXT_disjoint_timer_query.getQueryEXT, api.EXT_disjoint_timer_query.getQueryObjectEXT, api.EXT_disjoint_timer_query.isQueryEXT, api.EXT_disjoint_timer_query.queryCounterEXT, api.WebGLTimerQueryEXT"
"ext-float-blend","0 - limited",TRUE,"supported","supported","",""
"ext-frag-depth","0 - limited",TRUE,"supported","supported","",""
"ext-shader-texture-lod","0 - limited",TRUE,"supported","supported","",""
"ext-srgb","2 - widely",TRUE,"supported","supported","",""
"ext-texture-compression-bptc","0 - limited",FALSE,"supported","unsupported","","api.EXT_texture_compression_bptc"
"ext-texture-compression-rgtc","0 - limited",FALSE,"supported","unsupported","","api.EXT_texture_compression_rgtc"
"ext-texture-filter-anisotropic","2 - widely",TRUE,"supported","supported","",""
"ext-texture-norm16","0 - limited",TRUE,"supported","supported","",""
"external","0 - limited",FALSE,"supported","unsupported","","api.External, api.External.AddSearchProvider, api.External.IsSearchProviderInstalled"
"eyedropper","0 - limited",FALSE,"unsupported","unsupported","api.EyeDropper, api.EyeDropper.EyeDropper, api.EyeDropper.open, api.EyeDropper.secure_context_required","api.EyeDropper, api.EyeDropper.EyeDropper, api.EyeDropper.open, api.EyeDropper.secure_context_required"
"fast-seek","0 - limited",FALSE,"unsupported","supported","api.HTMLMediaElement.fastSeek",""
"fedcm","0 - limited",FALSE,"unsupported","unsupported","api.CredentialsContainer.get.identity_option, api.CredentialsContainer.get.identity_option.context_option, api.CredentialsContainer.get.identity_option.providers_option_loginHint, api.IdentityCredential, api.IdentityCredential.token","api.CredentialsContainer.get.identity_option, api.CredentialsContainer.get.identity_option.context_option, api.CredentialsContainer.get.identity_option.providers_option_loginHint, api.IdentityCredential, api.IdentityCredential.token"
"federated-credentials","0 - limited",FALSE,"supported","unsupported","","api.FederatedCredential, api.FederatedCredential.FederatedCredential, api.FederatedCredential.protocol, api.FederatedCredential.provider"
"fencedframe","0 - limited",FALSE,"partial","unsupported","api.Window.fence, html.elements.a.target.unfencedTop, html.elements.fencedframe, html.elements.fencedframe.allow, html.elements.fencedframe.height, html.elements.fencedframe.width, http.headers.Content-Security-Policy.fenced-frame-src, http.headers.Sec-Fetch-Dest.fencedframe","api.Fence, api.Fence.getNestedConfigs, api.Fence.reportEvent, api.Fence.setReportEventDataForAutomaticBeacons, api.FencedFrameConfig, api.FencedFrameConfig.setSharedStorageContext, api.HTMLFencedFrameElement, api.HTMLFencedFrameElement.allow, api.HTMLFencedFrameElement.config, api.HTMLFencedFrameElement.height, api.HTMLFencedFrameElement.sandbox, api.HTMLFencedFrameElement.width, api.Navigator.deprecatedReplaceInURN, api.Window.fence, html.elements.a.target.unfencedTop, html.elements.fencedframe, html.elements.fencedframe.allow, html.elements.fencedframe.height, html.elements.fencedframe.width, http.headers.Content-Security-Policy.fenced-frame-src, http.headers.Sec-Fetch-Dest.fencedframe"
"fetch","2 - widely",FALSE,"partial","partial","api.Request.duplex, api.Request.formData, api.Request.headers, api.Request.integrity, api.Request.isHistoryNavigation, api.Request.json, api.Request.keepalive, api.Request.method, api.Request.mode, api.Request.mode.navigate_mode, api.Request.redirect, api.Request.referrer, api.Request.referrerPolicy, api.Request.text, api.Request.url, api.Response, api.Response.Response, api.Response.Response.accept_readablestream, api.Response.Response.body_parameter_optional, api.Response.arrayBuffer, api.Response.blob, api.Response.body, api.Response.body.readable_byte_stream, api.Response.bodyUsed, api.Response.bytes, api.Response.clone, api.Response.error_static, api.Response.formData, api.Response.headers, api.Response.json, api.Response.json_static, api.Response.ok, api.Response.redirect_static, api.Response.redirected, api.Response.status, api.Response.statusText, api.Response.text, api.Response.type, api.Response.url, api.fetch, api.fetch.authorization_removed_cross_origin, api.fetch.blob_data_support, api.fetch.init_keepalive_parameter, api.fetch.init_referrerPolicy_parameter","api.Request.Request.request_body_readablestream, api.Request.Request.response_body_readablestream, api.Request.arrayBuffer, api.Request.blob, api.Request.bodyUsed, api.Request.bytes, api.Request.cache, api.Request.cache.only-if-cached, api.Request.clone, api.Request.credentials, api.Request.credentials.default_same-origin, api.Request.destination, api.Request.duplex, api.Request.formData, api.Request.headers, api.Request.integrity, api.Request.isHistoryNavigation, api.Request.json, api.Request.keepalive, api.Request.method, api.Request.mode, api.Request.mode.navigate_mode, api.Request.redirect, api.Request.referrer, api.Request.referrerPolicy, api.Request.text, api.Request.url, api.Response, api.Response.Response, api.Response.Response.accept_readablestream, api.Response.Response.body_parameter_optional, api.Response.arrayBuffer, api.Response.blob, api.Response.body, api.Response.body.readable_byte_stream, api.Response.bodyUsed, api.Response.bytes, api.Response.clone, api.Response.error_static, api.Response.formData, api.Response.headers, api.Response.json, api.Response.json_static, api.Response.ok, api.Response.redirect_static, api.Response.redirected, api.Response.status, api.Response.statusText, api.Response.text, api.Response.type, api.Response.url, api.fetch, api.fetch.authorization_removed_cross_origin, api.fetch.blob_data_support, api.fetch.init_keepalive_parameter, api.fetch.init_referrerPolicy_parameter"
"fetch-metadata","0 - limited",FALSE,"supported","partial","","http.headers.Sec-Fetch-User"
"fetch-priority","1 - newly",FALSE,"partial","partial","svg.elements.feImage.fetchpriority, svg.elements.image.fetchpriority, svg.elements.script.fetchpriority","svg.elements.feImage.fetchpriority, svg.elements.image.fetchpriority, svg.elements.script.fetchpriority"
"fetch-request-streams","0 - limited",TRUE,"supported","supported","",""
"fetchlater","0 - limited",FALSE,"supported","unsupported","","api.FetchLaterResult, api.FetchLaterResult.activated, api.Window.fetchLater, http.headers.Permissions-Policy.deferred-fetch, http.headers.Permissions-Policy.deferred-fetch-minimal"
"field-sizing","0 - limited",FALSE,"supported","unsupported","","css.properties.field-sizing, css.properties.field-sizing.content, css.properties.field-sizing.fixed"
"fieldset","2 - widely",TRUE,"supported","supported","",""
"figure","2 - widely",TRUE,"supported","supported","",""
"file","2 - widely",FALSE,"partial","supported","api.Blob.bytes, api.Blob.size, api.Blob.slice, api.Blob.stream, api.Blob.text, api.Blob.type, api.File, api.File.File, api.File.lastModified, api.File.name, api.FileList, api.FileList.item, api.FileList.length, api.FileReader, api.FileReader.FileReader, api.FileReader.abort, api.FileReader.abort_event, api.FileReader.error, api.FileReader.error_event, api.FileReader.load_event, api.FileReader.loadend_event, api.FileReader.loadstart_event, api.FileReader.progress_event, api.FileReader.readAsArrayBuffer, api.FileReader.readAsDataURL, api.FileReader.readAsText, api.FileReader.readyState, api.FileReader.result, api.FileReader.worker_support, api.FileReaderSync, api.FileReaderSync.FileReaderSync, api.FileReaderSync.readAsArrayBuffer, api.FileReaderSync.readAsDataURL, api.FileReaderSync.readAsText, api.FileReaderSync.worker_support, api.URL.createObjectURL_static, api.URL.revokeObjectURL_static",""
"file-selector-button","2 - widely",TRUE,"supported","supported","",""
"file-system-access","0 - limited",FALSE,"supported","partial","","api.FileSystemHandle.queryPermission, api.FileSystemHandle.requestPermission, api.FileSystemWritableFileStream, api.FileSystemWritableFileStream.seek, api.FileSystemWritableFileStream.truncate, api.FileSystemWritableFileStream.write, api.Window.showDirectoryPicker, api.Window.showOpenFilePicker, api.Window.showSaveFilePicker"
"filter","2 - widely",TRUE,"supported","supported","",""
"first-letter","2 - widely",FALSE,"partial","partial","css.selectors.first-letter.dutch_ij_digraph, css.selectors.first-letter.svg_text_element","css.selectors.first-letter.dutch_ij_digraph, css.selectors.first-letter.svg_text_element"
"first-line","2 - widely",FALSE,"partial","partial","css.selectors.first-line.svg_text_element","css.selectors.first-line.svg_text_element"
"fit-content","2 - widely",TRUE,"supported","supported","",""
"fit-content-function","0 - limited",FALSE,"unsupported","unsupported","css.properties.block-size.fit-content_function, css.properties.height.fit-content_function, css.properties.inline-size.fit-content_function, css.properties.max-block-size.fit-content_function, css.properties.max-height.fit-content_function, css.properties.max-inline-size.fit-content_function, css.properties.max-width.fit-content_function, css.properties.min-block-size.fit-content_function, css.properties.min-height.fit-content_function, css.properties.min-inline-size.fit-content_function, css.properties.min-width.fit-content_function, css.properties.width.fit-content_function","css.properties.block-size.fit-content_function, css.properties.height.fit-content_function, css.properties.inline-size.fit-content_function, css.properties.max-block-size.fit-content_function, css.properties.max-height.fit-content_function, css.properties.max-inline-size.fit-content_function, css.properties.max-width.fit-content_function, css.properties.min-block-size.fit-content_function, css.properties.min-height.fit-content_function, css.properties.min-inline-size.fit-content_function, css.properties.min-width.fit-content_function, css.properties.width.fit-content_function"
"fixed-positioning","2 - widely",TRUE,"supported","supported","",""
"flexbox","2 - widely",FALSE,"partial","partial","css.properties.align-content.flex_context.last_baseline, css.properties.align-content.flex_context.safe_unsafe, css.properties.align-content.flex_context.space-evenly, css.properties.align-content.flex_context.start_end, css.properties.align-content.flex_context.stretch, css.properties.align-content.normal, css.properties.align-items, css.properties.align-items.flex_context, css.properties.align-items.flex_context.baseline, css.properties.align-items.flex_context.first_baseline, css.properties.align-items.flex_context.last_baseline, css.properties.align-items.flex_context.safe_unsafe, css.properties.align-items.flex_context.start_end, css.properties.align-self, css.properties.align-self.auto, css.properties.align-self.flex_context, css.properties.align-self.flex_context.baseline, css.properties.align-self.flex_context.first_baseline, css.properties.align-self.flex_context.last_baseline, css.properties.align-self.flex_context.safe_unsafe, css.properties.align-self.flex_context.start_end, css.properties.align-self.flex_context.stretch, css.properties.align-self.normal, css.properties.align-self.stretch, css.properties.display.flex, css.properties.display.inline-flex, css.properties.flex, css.properties.flex-basis, css.properties.flex-basis.auto, css.properties.flex-basis.content, css.properties.flex-basis.fit-content, css.properties.flex-basis.max-content, css.properties.flex-basis.min-content, css.properties.flex-direction, css.properties.flex-direction.column, css.properties.flex-direction.column-reverse, css.properties.flex-direction.row, css.properties.flex-direction.row-reverse, css.properties.flex-flow, css.properties.flex-grow, css.properties.flex-grow.less_than_zero_animate, css.properties.flex-shrink, css.properties.flex-wrap, css.properties.flex-wrap.nowrap, css.properties.flex-wrap.wrap, css.properties.flex-wrap.wrap-reverse, css.properties.flex.none, css.properties.justify-content, css.properties.justify-content.flex_context, css.properties.justify-content.flex_context.left_right, css.properties.justify-content.flex_context.safe_unsafe, css.properties.justify-content.flex_context.space-evenly, css.properties.justify-content.flex_context.start_end, css.properties.justify-content.flex_context.stretch, css.properties.justify-content.left, css.properties.justify-content.normal, css.properties.justify-content.right, css.properties.justify-items, css.properties.justify-items.flex_context, css.properties.justify-items.left, css.properties.justify-items.legacy, css.properties.justify-items.right, css.properties.order, css.properties.place-content, css.properties.place-content.flex_context, css.properties.place-items, css.properties.place-items.flex_context, css.properties.place-self, css.properties.place-self.flex_context, css.properties.position.absolutely_positioned_flex_children","css.properties.flex-grow.less_than_zero_animate, css.properties.flex-shrink, css.properties.flex-wrap, css.properties.flex-wrap.nowrap, css.properties.flex-wrap.wrap, css.properties.flex-wrap.wrap-reverse, css.properties.flex.none, css.properties.justify-content, css.properties.justify-content.flex_context, css.properties.justify-content.flex_context.left_right, css.properties.justify-content.flex_context.safe_unsafe, css.properties.justify-content.flex_context.space-evenly, css.properties.justify-content.flex_context.start_end, css.properties.justify-content.flex_context.stretch, css.properties.justify-content.left, css.properties.justify-content.normal, css.properties.justify-content.right, css.properties.justify-items, css.properties.justify-items.flex_context, css.properties.justify-items.left, css.properties.justify-items.legacy, css.properties.justify-items.right, css.properties.order, css.properties.place-content, css.properties.place-content.flex_context, css.properties.place-items, css.properties.place-items.flex_context, css.properties.place-self, css.properties.place-self.flex_context, css.properties.position.absolutely_positioned_flex_children"
"flexbox-gap","2 - widely",TRUE,"supported","supported","",""
"float-clear","2 - widely",TRUE,"supported","supported","",""
"float16array","1 - newly",TRUE,"supported","supported","",""
"focus-events","2 - widely",FALSE,"partial","supported","api.HTMLElement.focus.options_focusVisible_parameter, api.HTMLElement.focus.options_preventScroll_parameter",""
"focus-visible","2 - widely",TRUE,"supported","supported","",""
"focus-within","2 - widely",TRUE,"supported","supported","",""
"font-display","2 - widely",TRUE,"supported","supported","",""
"font-face","2 - widely",FALSE,"supported","partial","","css.at-rules.font-face.OpenType_CBDT_CBLC, css.at-rules.font-face.OpenType_SBIX, css.at-rules.font-face.WOFF, css.at-rules.font-face.WOFF_2, css.at-rules.font-face.font-family, css.at-rules.font-face.src, css.at-rules.font-face.src.drop_invalid_item, css.at-rules.font-face.src.format_keyword, css.at-rules.font-face.src.format_variations, css.at-rules.font-face.src.tech_keyword, css.at-rules.font-face.unicode-range, css.types.url"
"font-family","2 - widely",TRUE,"supported","supported","",""
"font-family-math","0 - limited",FALSE,"supported","unsupported","","css.properties.font-family.math"
"font-family-system","2 - widely",TRUE,"supported","supported","",""
"font-family-ui","0 - limited",FALSE,"unsupported","supported","css.properties.font-family.ui-monospace, css.properties.font-family.ui-rounded, css.properties.font-family.ui-sans-serif, css.properties.font-family.ui-serif",""
"font-feature-settings","2 - widely",TRUE,"supported","supported","",""
"font-kerning","2 - widely",TRUE,"supported","supported","",""
"font-language-override","0 - limited",FALSE,"unsupported","unsupported","css.properties.font-language-override","css.properties.font-language-override"
"font-loading","2 - widely",FALSE,"partial","partial","api.FontFaceSetLoadEvent.worker_support, api.WorkerGlobalScope.fonts","api.FontFace.variationSettings, api.FontFace.weight, api.FontFace.worker_support, api.FontFaceSet, api.FontFaceSet.@@iterator, api.FontFaceSet.add, api.FontFaceSet.check, api.FontFaceSet.clear, api.FontFaceSet.delete, api.FontFaceSet.entries, api.FontFaceSet.forEach, api.FontFaceSet.has, api.FontFaceSet.keys, api.FontFaceSet.load, api.FontFaceSet.loading_event, api.FontFaceSet.loadingdone_event, api.FontFaceSet.loadingerror_event, api.FontFaceSet.ready, api.FontFaceSet.size, api.FontFaceSet.status, api.FontFaceSet.values, api.FontFaceSet.worker_support, api.FontFaceSetLoadEvent, api.FontFaceSetLoadEvent.FontFaceSetLoadEvent, api.FontFaceSetLoadEvent.fontfaces, api.FontFaceSetLoadEvent.worker_support, api.WorkerGlobalScope.fonts"
"font-metric-overrides","0 - limited",FALSE,"supported","unsupported","","api.FontFace.ascentOverride, api.FontFace.descentOverride, api.FontFace.lineGapOverride, css.at-rules.font-face.ascent-override, css.at-rules.font-face.descent-override, css.at-rules.font-face.line-gap-override"
"font-optical-sizing","2 - widely",TRUE,"supported","supported","",""
"font-palette","2 - widely",TRUE,"supported","supported","",""
"font-palette-animation","0 - limited",FALSE,"supported","unsupported","","css.properties.font-palette.animation_computed, css.properties.font-palette.palette-mix_function"
"font-shorthand","2 - widely",TRUE,"supported","supported","",""
"font-size","2 - widely",TRUE,"supported","supported","",""
"font-size-adjust","1 - newly",TRUE,"supported","supported","",""
"font-stretch","0 - limited",TRUE,"supported","supported","",""
"font-style","2 - widely",TRUE,"supported","supported","",""
"font-synthesis","2 - widely",FALSE,"partial","partial","css.properties.font-synthesis.position, css.properties.font-synthesis.small-caps, css.properties.font-synthesis.style, css.properties.font-synthesis.weight","css.properties.font-synthesis.position, css.properties.font-synthesis.small-caps, css.properties.font-synthesis.style, css.properties.font-synthesis.weight"
"font-synthesis-position","0 - limited",FALSE,"unsupported","unsupported","css.properties.font-synthesis-position, css.properties.font-synthesis-position.auto, css.properties.font-synthesis-position.none","css.properties.font-synthesis-position, css.properties.font-synthesis-position.auto, css.properties.font-synthesis-position.none"
"font-synthesis-small-caps","2 - widely",TRUE,"supported","supported","",""
"font-synthesis-style","2 - widely",TRUE,"supported","supported","",""
"font-synthesis-weight","2 - widely",TRUE,"supported","supported","",""
"font-variant","2 - widely",FALSE,"partial","partial","css.properties.font-variant.greek_accented_characters, css.properties.font-variant.historical-forms, css.properties.font-variant.none, css.properties.font-variant.normal, css.properties.font-variant.sub, css.properties.font-variant.super, css.properties.font-variant.turkic_is, css.properties.font-variant.uppercase_eszett, svg.global_attributes.font-variant","css.properties.font-variant.greek_accented_characters, css.properties.font-variant.historical-forms, css.properties.font-variant.none, css.properties.font-variant.normal, css.properties.font-variant.sub, css.properties.font-variant.super, css.properties.font-variant.turkic_is, css.properties.font-variant.uppercase_eszett, svg.global_attributes.font-variant"
"font-variant-alternates","2 - widely",FALSE,"supported","unsupported","","api.CSSFontFeatureValuesMap, api.CSSFontFeatureValuesMap.@@iterator, api.CSSFontFeatureValuesMap.clear, api.CSSFontFeatureValuesMap.delete, api.CSSFontFeatureValuesMap.entries, api.CSSFontFeatureValuesMap.forEach, api.CSSFontFeatureValuesMap.get, api.CSSFontFeatureValuesMap.has, api.CSSFontFeatureValuesMap.keys, api.CSSFontFeatureValuesMap.set, api.CSSFontFeatureValuesMap.size, api.CSSFontFeatureValuesMap.values, api.CSSFontFeatureValuesRule, api.CSSFontFeatureValuesRule.annotation, api.CSSFontFeatureValuesRule.characterVariant, api.CSSFontFeatureValuesRule.fontFamily, api.CSSFontFeatureValuesRule.ornaments, api.CSSFontFeatureValuesRule.styleset, api.CSSFontFeatureValuesRule.stylistic, api.CSSFontFeatureValuesRule.swash, css.at-rules.font-feature-values, css.at-rules.font-feature-values.annotation, css.at-rules.font-feature-values.character-variant, css.at-rules.font-feature-values.historical-forms, css.at-rules.font-feature-values.ornaments, css.at-rules.font-feature-values.styleset, css.at-rules.font-feature-values.stylistic, css.at-rules.font-feature-values.swash, css.properties.font-variant-alternates, css.properties.font-variant-alternates.annotation, css.properties.font-variant-alternates.character_variant, css.properties.font-variant-alternates.historical-forms, css.properties.font-variant-alternates.normal, css.properties.font-variant-alternates.ornaments, css.properties.font-variant-alternates.styleset, css.properties.font-variant-alternates.stylistic, css.properties.font-variant-alternates.swash"
"font-variant-caps","2 - widely",TRUE,"supported","supported","",""
"font-variant-east-asian","2 - widely",TRUE,"supported","supported","",""
"font-variant-emoji","0 - limited",FALSE,"supported","unsupported","","css.properties.font-variant-emoji, css.properties.font-variant-emoji.emoji, css.properties.font-variant-emoji.normal, css.properties.font-variant-emoji.text, css.properties.font-variant-emoji.unicode"
"font-variant-ligatures","2 - widely",TRUE,"supported","supported","",""
"font-variant-numeric","2 - widely",TRUE,"supported","supported","",""
"font-variant-position","0 - limited",FALSE,"unsupported","supported","css.properties.font-variant-position, css.properties.font-variant-position.normal, css.properties.font-variant-position.sub, css.properties.font-variant-position.super",""
"font-variation-settings","2 - widely",FALSE,"supported","unsupported","","css.at-rules.font-face.font-variation-settings, css.properties.font-variation-settings"
"font-weight","2 - widely",TRUE,"supported","supported","",""
"font-width","0 - limited",FALSE,"unsupported","unsupported","css.properties.font-width, css.properties.font-width.condensed, css.properties.font-width.expanded, css.properties.font-width.extra-condensed, css.properties.font-width.extra-expanded, css.properties.font-width.normal, css.properties.font-width.semi-condensed, css.properties.font-width.semi-expanded, css.properties.font-width.ultra-condensed, css.properties.font-width.ultra-expanded","css.properties.font-width, css.properties.font-width.condensed, css.properties.font-width.expanded, css.properties.font-width.extra-condensed, css.properties.font-width.extra-expanded, css.properties.font-width.normal, css.properties.font-width.semi-condensed, css.properties.font-width.semi-expanded, css.properties.font-width.ultra-condensed, css.properties.font-width.ultra-expanded"
"forced-colors","2 - widely",FALSE,"supported","partial","","css.properties.forced-color-adjust, css.properties.forced-color-adjust.auto, css.properties.forced-color-adjust.none, css.properties.forced-color-adjust.preserve-parent-color"
"form","2 - widely",TRUE,"supported","supported","",""
"form-associated-custom-elements","2 - widely",TRUE,"supported","supported","",""
"form-validity-pseudos","2 - widely",TRUE,"supported","supported","",""
"fullscreen","0 - limited",FALSE,"partial","unsupported","css.selectors.fullscreen.all_elements, html.elements.iframe.allow.fullscreen, html.elements.iframe.allowfullscreen, http.headers.Permissions-Policy.fullscreen","api.Document.exitFullscreen, api.Document.exitFullscreen.returns_promise, api.Document.fullscreenElement, api.Document.fullscreenEnabled, api.Document.fullscreenchange_event, api.Document.fullscreenerror_event, api.Element.fullscreenchange_event, api.Element.fullscreenerror_event, api.Element.requestFullscreen, api.Element.requestFullscreen.options_navigationUI_parameter, api.Element.requestFullscreen.returns_promise, api.HTMLIFrameElement.allowFullscreen, api.ShadowRoot.fullscreenElement, css.selectors.backdrop.fullscreen, css.selectors.fullscreen, css.selectors.fullscreen.all_elements, html.elements.iframe.allow.fullscreen, html.elements.iframe.allowfullscreen, http.headers.Permissions-Policy.fullscreen"
"function","0 - limited",FALSE,"supported","unsupported","","api.CSSFunctionDeclarations, api.CSSFunctionDeclarations.style, api.CSSFunctionDescriptors, api.CSSFunctionDescriptors.result, api.CSSFunctionRule, api.CSSFunctionRule.getParameters, api.CSSFunctionRule.name, api.CSSFunctionRule.returnType, css.at-rules.function, css.at-rules.function.result, css.types.dashed-function, css.types.type"
"functions","2 - widely",TRUE,"supported","supported","",""
"functions-caller-arguments","0 - limited",TRUE,"supported","supported","",""
"gamepad","2 - widely",FALSE,"partial","partial","api.Gamepad.secure_context_required, api.Gamepad.timestamp, api.GamepadButton, api.GamepadButton.pressed, api.GamepadButton.secure_context_required, api.GamepadButton.value, api.GamepadEvent, api.GamepadEvent.GamepadEvent, api.GamepadEvent.gamepad, api.GamepadEvent.secure_context_required, api.Navigator.getGamepads, api.Navigator.getGamepads.secure_context_required, api.Window.gamepadconnected_event, api.Window.gamepaddisconnected_event, html.elements.iframe.allow.gamepad","api.Gamepad.secure_context_required, api.Gamepad.timestamp, api.GamepadButton, api.GamepadButton.pressed, api.GamepadButton.secure_context_required, api.GamepadButton.value, api.GamepadEvent, api.GamepadEvent.GamepadEvent, api.GamepadEvent.gamepad, api.GamepadEvent.secure_context_required, api.Navigator.getGamepads, api.Navigator.getGamepads.secure_context_required, api.Window.gamepadconnected_event, api.Window.gamepaddisconnected_event, html.elements.iframe.allow.gamepad"
